,pred_dust_percent,speed_discrete,dust>50,dust>35,dust>25,dust>15,dust>5,collected_on_localtime,is_rev1,camera_location,camera_location_grouped,latitude,longitude,robot_name,operation_time,id,collected_on_localtime,speed_kph
103353,0.0,D:25+,False,False,False,False,False,2022-06-21 10:31:48.926000-05:00,hitchhiker,rear-right,rev1_rear,35.75502149999999,-91.1976526,hitchhiker_31,daytime,63388353f4d4b5813c8f24c9,2022-06-21 10:31:48.926000-05:00,27.51171875
202579,0.02822875976562,C:10-25,False,False,False,False,False,2022-11-07 16:28:03.939000-06:00,hitchhiker,front-left-right,rev1_side_front,43.81398119999999,-95.4785643,hitchhiker_869,daytime,64429844f629a7728a4ad92a,2022-11-07 16:28:03.939000-06:00,10.1640625
189368,0.0,A:0-2,False,False,False,False,False,2023-02-24 14:52:12.518000-06:00,loamy,front-left-left,rev1_side_front,41.76772249999999,-93.4890749,loamy_812_0,daytime,6408f125211d528037ca7736,2023-02-24 14:52:12.518000-06:00,0.00390625
85319,0.0,A:0-2,False,False,False,False,False,2021-09-28 15:32:38.401000-05:00,triton,front-right-left,rev1_side_front,32.000326899999976,-84.3213625,triton_01,daytime,61579380631092aac717045d,2021-09-28 15:32:38.401000-05:00,0.015625
112696,0.0,C:10-25,False,False,False,False,False,2022-01-27 16:30:33.370000-06:00,loamy,front-right-right,rev1_side_front,36.9537555,-121.518897,loamy_06,daytime,61f458778cab26f7086ef3f7,2022-01-27 16:30:33.370000-06:00,11.32421875
132499,0.0,A:0-2,False,False,False,False,False,2023-04-13 15:45:08.327000-05:00,loamy,front-left-right,rev1_side_front,43.08183329999999,-94.5534844,loamy_799,daytime,64497c4b44372c22ae87b14c,2023-04-13 15:45:08.327000-05:00,0.0234375
167635,0.0,A:0-2,False,False,False,False,False,2023-04-28 16:53:03.695000-05:00,hitchhiker,I02,halo_implement,39.65321469999999,-89.10620320000001,hitchhiker_113,daytime,6455b6ccc63d9bb8e9ed139e,2023-04-28 16:53:03.695000-05:00,0.0078125
153160,0.0,C:10-25,False,False,False,False,False,2021-11-09 23:17:03.243000-06:00,loamy,front-right-left,rev1_side_front,43.63435509999999,-94.0109853,loamy_735,nightime,61a572e20e0313008a2cb526,2021-11-09 23:17:03.243000-06:00,11.17578125
26469,0.0,C:10-25,False,False,False,False,False,2023-01-20 17:38:36.340000-06:00,loamy,front-center-right,rev1_front,31.35280139999999,-100.3284277,loamy_842,daytime,63cf3bf4bd44d374c80d8e5f,2023-01-20 17:38:36.340000-06:00,10.640625
208923,0.0,B:2-10,False,False,False,False,False,2023-04-27 18:54:01.154000-05:00,hitchhiker,T04,halo_front,39.52333619999999,-89.0562701,hitchhiker_111,daytime,64547562abab6b60f48b7919,2023-04-27 18:54:01.154000-05:00,6.39453125
